timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850602.521452,0.0,0.0,0.0,0.0,0.0,0.0
1715850602.5232038,-0.001997369,-0.60640126,-0.34021854,-0.001997369,-0.60640126,-0.34021854
1715850602.5252225,-0.001997369,-0.60640126,-0.34021854,-0.001997369,-0.60640126,-0.34021854
1715850602.5270894,-0.001997369,-0.60640126,-0.34021854,-0.001997369,-0.60640126,-0.34021854
1715850602.529025,-0.001997369,-0.60640126,-0.34021854,-0.001997369,-0.60640126,-0.34021854
1715850602.530885,-0.001997369,-0.60640126,-0.34021854,-0.001997369,-0.60640126,-0.34021854
1715850602.5342162,0.42730382,-1.6290542,-0.58203334,0.42730382,-1.6290542,-0.58203334
1715850602.5377295,0.42730382,-1.6290542,-0.58203334,0.42730382,-1.6290542,-0.58203334
1715850602.5405467,0.42730382,-1.6290542,-0.58203334,0.42730382,-1.6290542,-0.58203334
1715850602.5428622,0.42730382,-1.6290542,-0.58203334,0.42730382,-1.6290542,-0.58203334
1715850602.5451639,0.33995223,-1.6013573,-0.68749446,0.33995223,-1.6013573,-0.68749446
1715850602.547343,0.33995223,-1.6013573,-0.68749446,0.33995223,-1.6013573,-0.68749446
1715850602.5494232,0.33995223,-1.6013573,-0.68749446,0.33995223,-1.6013573,-0.68749446
1715850602.551399,0.33995223,-1.6013573,-0.68749446,0.33995223,-1.6013573,-0.68749446
1715850602.553291,0.33995223,-1.6013573,-0.68749446,0.33995223,-1.6013573,-0.68749446
1715850602.555304,0.18122795,-1.4266542,-0.81852186,0.18122795,-1.4266542,-0.81852186
1715850602.5572646,0.18122795,-1.4266542,-0.81852186,0.18122795,-1.4266542,-0.81852186
1715850602.5591564,0.18122795,-1.4266542,-0.81852186,0.18122795,-1.4266542,-0.81852186
1715850602.5610006,0.18122795,-1.4266542,-0.81852186,0.18122795,-1.4266542,-0.81852186
1715850602.5627692,0.035286855,-1.1305109,-0.9154608,0.035286855,-1.1305109,-0.9154608
1715850602.5646038,0.035286855,-1.1305109,-0.9154608,0.035286855,-1.1305109,-0.9154608
1715850602.5663838,0.035286855,-1.1305109,-0.9154608,0.035286855,-1.1305109,-0.9154608
1715850602.568281,0.035286855,-1.1305109,-0.9154608,0.035286855,-1.1305109,-0.9154608
1715850602.5701802,0.035286855,-1.1305109,-0.9154608,0.035286855,-1.1305109,-0.9154608
1715850602.571987,0.035286855,-1.1305109,-0.9154608,0.035286855,-1.1305109,-0.9154608
1715850602.574265,-0.11278477,-0.7736476,-0.9910945,-0.11278477,-0.7736476,-0.9910945
1715850602.5761251,-0.11278477,-0.7736476,-0.9910945,-0.11278477,-0.7736476,-0.9910945
