timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850724.7283254,0.0,0.0,0.0,0.0,0.0,0.0
1715850724.7300406,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.732014,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7339087,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7357683,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7375653,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7394876,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.741578,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7433436,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7452147,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7470322,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7488103,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.750577,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7524176,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7542002,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7559936,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7581491,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7599282,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7617285,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7635334,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7653334,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7670949,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7688735,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7706277,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.772435,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7742057,-0.2713759,0.13049479,-0.1358211,-0.2713759,0.13049479,-0.1358211
1715850724.7762315,0.36964643,-1.7275912,-0.32637012,0.36964643,-1.7275912,-0.32637012
1715850724.7781098,0.36964643,-1.7275912,-0.32637012,0.36964643,-1.7275912,-0.32637012
1715850724.7799375,0.36964643,-1.7275912,-0.32637012,0.36964643,-1.7275912,-0.32637012
1715850724.7817202,0.36964643,-1.7275912,-0.32637012,0.36964643,-1.7275912,-0.32637012
1715850724.7834067,0.36964643,-1.7275912,-0.32637012,0.36964643,-1.7275912,-0.32637012
1715850724.7851536,0.079894766,-1.5763237,-0.1953427,0.079894766,-1.5763237,-0.1953427
1715850724.7869394,0.079894766,-1.5763237,-0.1953427,0.079894766,-1.5763237,-0.1953427
1715850724.7887127,0.079894766,-1.5763237,-0.1953427,0.079894766,-1.5763237,-0.1953427
1715850724.7905436,0.079894766,-1.5763237,-0.1953427,0.079894766,-1.5763237,-0.1953427
1715850724.7923267,0.079894766,-1.5763237,-0.1953427,0.079894766,-1.5763237,-0.1953427
1715850724.7941716,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.7975183,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.800734,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8038948,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.807079,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8102522,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.814391,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8178558,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.821102,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8245835,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8277447,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8311045,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.834605,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8379257,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8411894,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8443062,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8476434,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8511372,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
1715850724.8544807,-0.13635373,-1.2588751,-0.100534245,-0.13635373,-1.2588751,-0.100534245
