id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
jumpingjacks,1715719625.4602501,0.0,0.0,0.0,0.0,0.0,0.0
jumpingjacks,1715719625.4618912,-0.09187899,0.114782155,0.054861076,-0.09187899,0.114782155,0.054861076
jumpingjacks,1715719625.463934,1.2245206,-1.5626086,-2.4233415,1.2245206,-1.5626086,-2.4233415
jumpingjacks,1715719625.46561,7.701856,1.9370488,-6.197704,7.701856,1.9370488,-6.197704
jumpingjacks,1715719625.4672399,-3.3933973,4.2565274,12.091541,-3.3933973,4.2565274,12.091541
jumpingjacks,1715719625.468828,-4.193144,3.1000504,11.012695,-4.193144,3.1000504,11.012695
jumpingjacks,1715719625.470453,-4.193144,3.1000504,11.012695,-4.193144,3.1000504,11.012695
jumpingjacks,1715719625.472086,-4.193144,3.1000504,11.012695,-4.193144,3.1000504,11.012695
jumpingjacks,1715719625.473671,-4.193144,3.1000504,11.012695,-4.193144,3.1000504,11.012695
jumpingjacks,1715719625.47524,-4.193144,3.1000504,11.012695,-4.193144,3.1000504,11.012695
jumpingjacks,1715719625.476749,-4.193144,3.1000504,11.012695,-4.193144,3.1000504,11.012695
jumpingjacks,1715719625.478367,-4.193144,3.1000504,11.012695,-4.193144,3.1000504,11.012695
jumpingjacks,1715719625.479939,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
jumpingjacks,1715719625.481513,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
jumpingjacks,1715719625.483093,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
jumpingjacks,1715719625.484661,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
jumpingjacks,1715719625.486177,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
jumpingjacks,1715719625.487678,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
jumpingjacks,1715719625.489193,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
jumpingjacks,1715719625.490752,-4.482896,1.3416996,10.078592,-4.482896,1.3416996,10.078592
